TL,TM,TR,ML,MM,MR,BL,BM,BR,class
b,b,b,o,b,b,b,x,b,X
b,b,b,o,b,b,b,x,x,X
o,b,b,o,b,b,b,x,x,X
o,b,b,o,b,x,b,x,x,X
o,b,b,o,o,x,b,x,x,X
o,b,b,o,o,x,x,x,x,X
b,b,b,b,b,b,b,b,x,O
o,b,b,b,b,b,b,b,x,O
o,x,b,b,b,b,b,b,x,O
o,x,b,b,o,b,b,b,x,O
o,x,b,x,o,b,b,b,x,O
o,x,o,x,o,b,b,b,x,O
o,x,o,x,o,x,b,b,x,O
o,x,o,x,o,x,o,b,x,O
x,b,b,b,b,b,b,b,b,X
x,o,b,b,b,b,b,b,b,X
x,o,b,b,b,b,b,b,x,X
x,o,o,b,b,b,b,b,x,X
x,o,o,b,b,b,x,b,x,X
x,o,o,o,b,b,x,b,x,X
x,o,o,o,b,b,x,x,x,X
x,b,b,b,b,b,b,b,b,O
x,b,b,b,b,b,b,o,b,O
x,x,b,b,b,b,b,o,b,O
x,x,b,b,b,b,b,o,o,O
x,x,b,x,b,b,b,o,o,O
x,x,o,x,b,b,b,o,o,O
x,x,o,x,x,b,b,o,o,O
x,x,o,x,x,o,b,o,o,O
b,b,x,b,b,b,b,b,b,X
b,b,x,b,b,o,b,b,b,X
b,x,x,b,b,o,b,b,b,X
b,x,x,o,b,o,b,b,b,X
x,x,x,o,b,o,b,b,b,X
b,b,b,b,b,b,b,x,b,D
b,o,b,b,b,b,b,x,b,D
b,o,x,b,b,b,b,x,b,D
b,o,x,b,o,b,b,x,b,D
b,o,x,x,o,b,b,x,b,D
b,o,x,x,o,b,o,x,b,D
b,o,x,x,o,b,o,x,x,D
b,o,x,x,o,o,o,x,x,D
x,o,x,x,o,o,o,x,x,D
b,b,b,b,b,b,b,x,b,X
b,b,b,b,b,b,o,x,b,X
b,x,b,b,b,b,o,x,b,X
b,x,b,b,b,b,o,x,o,X
b,x,b,x,b,b,o,x,o,X
b,x,b,x,b,o,o,x,o,X
x,x,b,x,b,o,o,x,o,X
x,x,b,x,o,o,o,x,o,X
x,x,x,x,o,o,o,x,o,X
b,b,b,b,b,b,b,x,b,X
b,b,o,b,b,b,b,x,b,X
b,b,o,b,x,b,b,x,b,X
b,b,o,b,x,b,o,x,b,X
b,b,o,b,x,x,o,x,b,X
b,b,o,b,x,x,o,x,o,X
b,b,o,x,x,x,o,x,o,X
b,b,b,b,b,b,b,b,x,O
b,b,b,b,b,b,o,b,x,O
b,b,b,x,b,b,o,b,x,O
b,o,b,x,b,b,o,b,x,O
b,o,b,x,b,b,o,x,x,O
o,o,b,x,b,b,o,x,x,O
o,o,b,x,x,b,o,x,x,O
o,o,o,x,x,b,o,x,x,O
b,b,b,b,b,b,b,b,x,X
b,o,b,b,b,b,b,b,x,X
b,o,b,b,b,b,x,b,x,X
b,o,b,b,b,o,x,b,x,X
b,o,b,b,x,o,x,b,x,X
b,o,b,o,x,o,x,b,x,X
b,o,x,o,x,o,x,b,x,X
b,b,b,b,b,b,b,x,b,O
o,b,b,b,b,b,b,x,b,O
o,b,b,b,b,x,b,x,b,O
o,b,b,b,o,x,b,x,b,O
o,b,b,b,o,x,x,x,b,O
o,b,o,b,o,x,x,x,b,O
o,b,o,x,o,x,x,x,b,O
o,b,o,x,o,x,x,x,o,O
b,x,b,b,b,b,b,b,b,X
b,x,b,o,b,b,b,b,b,X
b,x,b,o,x,b,b,b,b,X
b,x,b,o,x,b,o,b,b,X
b,x,x,o,x,b,o,b,b,X
b,x,x,o,x,o,o,b,b,X
x,x,x,o,x,o,o,b,b,X
b,b,b,b,b,b,b,x,b,O
b,b,b,b,b,b,b,x,o,O
b,b,b,b,b,b,x,x,o,O
b,b,b,b,b,o,x,x,o,O
x,b,b,b,b,o,x,x,o,O
x,b,b,b,o,o,x,x,o,O
x,x,b,b,o,o,x,x,o,O
x,x,b,o,o,o,x,x,o,O
b,x,b,b,b,b,b,b,b,X
b,x,b,b,b,b,b,o,b,X
b,x,b,b,b,b,x,o,b,X
b,x,b,b,o,b,x,o,b,X
x,x,b,b,o,b,x,o,b,X
x,x,b,b,o,o,x,o,b,X
x,x,x,b,o,o,x,o,b,X
b,b,b,x,b,b,b,b,b,X
o,b,b,x,b,b,b,b,b,X
o,x,b,x,b,b,b,b,b,X
o,x,b,x,b,o,b,b,b,X
o,x,b,x,x,o,b,b,b,X
o,x,o,x,x,o,b,b,b,X
o,x,o,x,x,o,b,x,b,X
b,b,b,b,b,b,b,x,b,O
b,b,b,b,b,b,b,x,o,O
b,x,b,b,b,b,b,x,o,O
b,x,b,b,b,b,o,x,o,O
b,x,b,x,b,b,o,x,o,O
b,x,b,x,o,b,o,x,o,O
x,x,b,x,o,b,o,x,o,O
x,x,o,x,o,b,o,x,o,O
b,b,b,x,b,b,b,b,b,X
b,o,b,x,b,b,b,b,b,X
b,o,x,x,b,b,b,b,b,X
b,o,x,x,b,b,b,o,b,X
x,o,x,x,b,b,b,o,b,X
x,o,x,x,b,o,b,o,b,X
x,o,x,x,b,o,b,o,x,X
x,o,x,x,b,o,o,o,x,X
x,o,x,x,x,o,o,o,x,X
b,b,b,b,b,b,x,b,b,X
b,b,o,b,b,b,x,b,b,X
b,b,o,b,x,b,x,b,b,X
b,b,o,b,x,b,x,b,o,X
b,b,o,x,x,b,x,b,o,X
b,b,o,x,x,b,x,o,o,X
b,b,o,x,x,x,x,o,o,X
b,x,b,b,b,b,b,b,b,X
o,x,b,b,b,b,b,b,b,X
o,x,b,b,b,x,b,b,b,X
o,x,o,b,b,x,b,b,b,X
o,x,o,b,b,x,b,x,b,X
o,x,o,o,b,x,b,x,b,X
o,x,o,o,x,x,b,x,b,X
b,x,b,b,b,b,b,b,b,X
b,x,b,b,o,b,b,b,b,X
x,x,b,b,o,b,b,b,b,X
x,x,b,b,o,o,b,b,b,X
x,x,b,x,o,o,b,b,b,X
x,x,o,x,o,o,b,b,b,X
x,x,o,x,o,o,x,b,b,X
b,b,b,b,b,b,b,b,x,X
b,b,b,b,o,b,b,b,x,X
x,b,b,b,o,b,b,b,x,X
x,o,b,b,o,b,b,b,x,X
x,o,b,x,o,b,b,b,x,X
x,o,b,x,o,o,b,b,x,X
x,o,b,x,o,o,x,b,x,X
x,b,b,b,b,b,b,b,b,D
x,b,o,b,b,b,b,b,b,D
x,b,o,b,b,b,x,b,b,D
x,b,o,o,b,b,x,b,b,D
x,b,o,o,b,x,x,b,b,D
x,b,o,o,b,x,x,o,b,D
x,b,o,o,x,x,x,o,b,D
x,b,o,o,x,x,x,o,o,D
x,x,o,o,x,x,x,o,o,D
b,b,x,b,b,b,b,b,b,X
b,o,x,b,b,b,b,b,b,X
b,o,x,b,b,b,x,b,b,X
o,o,x,b,b,b,x,b,b,X
o,o,x,b,b,b,x,x,b,X
o,o,x,o,b,b,x,x,b,X
o,o,x,o,b,x,x,x,b,X
o,o,x,o,b,x,x,x,o,X
o,o,x,o,x,x,x,x,o,X
b,b,b,b,b,b,b,b,x,X
b,b,o,b,b,b,b,b,x,X
b,b,o,b,x,b,b,b,x,X
b,b,o,b,x,b,b,o,x,X
b,b,o,b,x,x,b,o,x,X
b,o,o,b,x,x,b,o,x,X
b,o,o,x,x,x,b,o,x,X
b,b,b,b,b,b,b,x,b,X
b,b,b,b,o,b,b,x,b,X
b,b,b,b,o,b,x,x,b,X
b,o,b,b,o,b,x,x,b,X
b,o,x,b,o,b,x,x,b,X
o,o,x,b,o,b,x,x,b,X
o,o,x,x,o,b,x,x,b,X
o,o,x,x,o,o,x,x,b,X
o,o,x,x,o,o,x,x,x,X
b,b,b,b,b,b,x,b,b,X
b,b,b,b,o,b,x,b,b,X
b,b,b,b,o,x,x,b,b,X
b,b,b,o,o,x,x,b,b,X
b,b,x,o,o,x,x,b,b,X
b,b,x,o,o,x,x,o,b,X
b,x,x,o,o,x,x,o,b,X
b,x,x,o,o,x,x,o,o,X
x,x,x,o,o,x,x,o,o,X
b,b,b,b,b,b,x,b,b,O
